country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:pl,country info:it
Pitcairn Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Oversjøisk britisk territorium.,,,,,,,,
Cocos (Keeling) Islands,External territory of Australia.,Australisches Außengebiet.,Territorio externo de Australia.,Territoire extérieur australien.,Australsk territorium.,,,,,,,,
Tokelau,Dependent territory of New Zealand. Tokelau has no official capital; the meeting place of the Tokelau Council rotates annually.,Von Neuseeland abhängiges Gebiet. Tokelau hat keine offizielle Hauptstadt; der Treffpunkt des Tokelauer Rates wechselt jährlich.,Territorio dependiente de Nueva Zelanda. Tokelau no tiene capital oficial; el sitio de encuentro del Consejo de Tokelau rota anualmente.,"Territoire dépendant de la Nouvelle-Zélande. La capitale, de même que la présidence du Conseil permanent du Gouvernement, tournent entre les trois atolls.",Newzealandsk territorium.,,,,,,,,
Christmas Island,External territory of Australia.,Australisches Außengebiet.,Territorio externo de Australia.,Territoire extérieur australien.,Australsk territorium. ,,,,,,,,
Norfolk Island,External territory of Australia.,Außengebiet von Australien.,Territorio externo de Australia.,Territoire extérieur australien.,Selvstyrt australsk territorium.,,,,,,,,
Montserrat,Overseas territory of the United Kingdom.,Überseegebiet des Vereinigten Königreichs.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk oversjøisk territorium i Karibia.,,,,,,,,
Saint Helena,"Part of Saint Helena, Ascension and Tristan da Cunha, an overseas territory of the United Kingdom.","Teil von St. Helena, Ascension und Tristan da Cunha, einem Überseegebiet des Vereinigten Königreichs.","Parte de Santa Elena, Ascensión y Tristán de Acuña, un territorio de ultramar del Reino Unido.","Fait partie de Sainte-Hélène, Ascension et Tristan da Cunha, un territoire britannique d'outre-mer.","Del av det britiske oversjøiske territoriet Sankt Helena, Ascencion og Tristan da Cunha.",,,,,,,,
Saint Barthélemy,Overseas territory of France.,Französisches Überseegebiet.,Territorio de ultramar de Francia.,Collectivité française d'outre-mer.,Fransk oversjøisk land.,,,,,,,,
Ceuta,Autonomous city of Spain.,Autonome spanische Stadt.,Ciudad autónoma de España.,Ville autonome d’Espagne.,Selvstyrt by i Spania.,,,,,,,,
Melilla,Autonomous city of Spain,Autonome spanische Stadt.,Ciudad autónoma de España.,Ville autonome d’Espagne.,Spansk by og enklave på Marokkos middelhavskyst.,,,,,,,,
Galápagos Islands,Province of Ecuador.,Ecuadorianische Provinz.,Provincia de Ecuador.,Province de l'Équateur.,Region i Ecuador.,,,,,,,,
Saba,Special municipality of the Netherlands.,Besondere Gemeinde der Niederlande.,Municipio especial de los Países Bajos.,Commune des Pays-Bas à statut particulier.,Kommune med særstatus i Nederland. Øy i Karibia.,,,,,,,,
Sint Eustatius,Special municipality of the Netherlands.,Besondere Gemeinde der Niederlande.,Municipio especial de los Países Bajos.,Commune des Pays-Bas à statut particulier.,Kommune med særstatus i Nederland.,,,,,,,,
Easter Island,Polynesian island and special territory of Chile.,Polynesische Insel unter Chilenischer Regierung.,Isla de la Polinesia y territorio especial de Chile.,Île polynésienne et territoire spécial du Chili.,Territorium i Chile.,,,,,,,,
Bonaire,Special municipality of the Netherlands.,Besondere Gemeinde der Niederlande.,Municipio especial de los Países Bajos.,Commune des Pays-Bas à statut particulier.,Kommune med spesiell status i Nederland.,,,,,,,,
British Indian Ocean Territory,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk besittelse.,,,,,,,,
Mount Athos,"Autonomous orthodox monastic state in northeastern Greece, also known as the Holy Mountain.","Autonomer orthodoxer Klosterstaat im Nordosten Griechenlands, auch bekannt als „Heilige Berg“.","Estado monástico ortodoxo autónomo en la parte noreste de Grecia, también conocido como la Montaña Sagrada.","République monastique autonome au nord-est de la Grêce, aussi connue comme la Sainte-Montagne.",Autonom munkerepublikk i Nord-Hellas. Også kalt Det hellige berget.,,,,,,,,
,,,,,,,,,,,,,
Anguilla,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Gibraltar,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk kronkoloni.,,,,,,,,
Saint Martin,Overseas territory of France.,Französisches Überseegebiet.,Territorio de ultramar de Francia.,Collectivité française d'outre-mer.,Fransk oversjøisk land.,,,,,,,,
British Virgin Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Sint Maarten,Constituent country of the Kingdom of the Netherlands.,Autonomes Land innerhalb des Königreichs der Niederlande.,Nación constitutiva del Reino de los Países Bajos.,État autonome du royaume des Pays-Bas.,"«Land» som sammen med Nederland, Curaçao og Aruba utgjør føderasjonen Kongeriket Nederlandene.",,,,,,,,
Turks and Caicos Islands,Overseas territory of the United Kingdom.,Auch Turks &amp; Caicos. Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Northern Mariana Islands,Unincorporated territory of the United States.,Nichtinkorporiertes US-amerikanisches Außengebiet.,Territorio no incorporado de los Estados Unidos.,Territoire non incorporé des États-Unis.,Uinnlemmet territorium i USA.,,,,,,,,
American Samoa,Unincorporated territory of the United States.,Nichtinkorporiertes US-amerikanisches Außengebiet.,Territorio no incorporado de los Estados Unidos.,Territoire non incorporé des États-Unis.,Uinnlemmet territorium i USA.,,,,,,,,
Cayman Islands,Overseas territory of the United Kingdom.,Überseegebiet des Vereinigten Königreichs.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Guernsey,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Kanaløy underlagt britisk kronbesittelse.,,,,,,,,
Bermuda,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium.,,,,,,,,
Isle of Man,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Også kalt Isle of Man. Kanaløy underlagt britisk kronbesittelse. Hverken del av Storbritannia eller EU.,,,,,,,,
Jersey,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Kanaløy underlagt britisk kronbesittelse.,,,,,,,,
Falkland Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk øygruppe.,,,,,,,,
Azores,Autonomous region of Portugal.,Autonome Region von Portugal.,Región autónoma de Portugal.,Région autonome du Portugal.,Selvstyrt region i Portugal.,,,,,,,,
Mayotte,Overseas department of France.,Übersee-Département Frankreichs.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk territorium.,,,,,,,,
Madeira,Autonomous region of Portugal.,Autonome Region von Portugal.,Región autónoma de Portugal.,Région autonome du Portugal.,Selvstyrt region i Portugal.,,,,,,,,
Corsica,Region of France.,Gebietskörperschaft Frankreichs.,Región de Francia.,Région française.,Fransk region.,,,,,,,,
Martinique,Overseas department of France.,Übersee-Département Frankreichs.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement.,,,,,,,,
Sardinia,Autonomous region of Italy.,Autonome Region Italiens.,Región autónoma de Italia.,Région d'Italie à statut spécial.,Delvis selvstyrt region i Italia.,,,,,,,,
Sicily,Autonomous region of Italy.,Autonome Region Italiens.,Región autónoma de Italia.,Région d'Italie à statut spécial.,Delvis selvstyrt region i Italia.,,,,,,,,
Zanzibar,Semi-autonomous region of Tanzania.,Halbautonomer Teilstaat von Tansania.,Región semiautónoma de Tanzania.,Région autonome de Tanzanie.,Delvis selvstendig stat i Tanzania.,,,,,,,,
Canary Islands,Autonomous community of Spain.,Autonome Gemeinschaft von Spanien.,Comunidad autónoma de España.,Communauté autonome d’Espagne.,Selvstyrt område i Spania.,,,,,,,,
Guadeloupe,Overseas department of France.,Übersee-Département von Frankreich.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement.,,,,,,,,
Réunion,Overseas department of France.,Übersee-Département Frankreichs,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement.,,,,,,,,
Kaliningrad Oblast,Oblast (administrative region) of the Russian Federation.,Oblast (administratives Gebiet) der Russischen Föderation.,Óblast (región administrativa) de la Federación de Rusia.,Oblast (région administrative) de la fédération de Russie.,Oblast (administrativt distrikt) i Russland.,,,,,,,,
French Guiana,Overseas department of France.,Französisches Überseegebiet.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement og del av EU.,,,,,,,,
Bali,Province of Indonesia.,Indonesische Provinz.,Provincia de Indonesia.,Province d'Indonésie.,Øy og provins i Indonesia.,,,,,,,,
